dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed,_source
csic2010,tiny,Unigram,token_fair,0.7738,0.7728,406.3974,595,724738,0.724738,2048,512,5000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok5M/seed0/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.6326,0.4416,785.3036,1059,724738,0.724738,2048,512,5000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok5M/seed0/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.8844,0.8844,216.9894,416,724738,0.724738,2048,512,5000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok5M/seed0/results_token_fair.csv
csic2010,small,BPE,token_fair,0.8578,0.4814,327.2294,514,3815426,3.815426,2048,512,5000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok5M/seed0/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.8856,0.4652,329.449,526,3815426,3.815426,2048,512,5000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok5M/seed0/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.7936,0.7936,406.3974,595,3815426,3.815426,2048,512,5000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok5M/seed0/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.683,0.4422,785.3036,1059,3815426,3.815426,2048,512,5000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok5M/seed0/results_token_fair.csv
csic2010,small,CIT,token_fair,0.9018,0.9018,216.9894,416,3815426,3.815426,2048,512,5000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok5M/seed0/results_token_fair.csv
csic2010,tiny,BPE,token_fair,0.7896,0.4872,329.209,519,724738,0.724738,2048,512,5000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok5M/seed1/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.8234,0.4906,331.559,532,724738,0.724738,2048,512,5000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok5M/seed1/results_token_fair.csv
csic2010,tiny,Unigram,token_fair,0.77,0.7672,402.7612,605,724738,0.724738,2048,512,5000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok5M/seed1/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.6582,0.4648,788.5086,1066,724738,0.724738,2048,512,5000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok5M/seed1/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.8956,0.8956,213.3634,402,724738,0.724738,2048,512,5000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok5M/seed1/results_token_fair.csv
csic2010,small,BPE,token_fair,0.8478,0.5072,329.209,519,3815426,3.815426,2048,512,5000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok5M/seed1/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.8986,0.5114,331.559,532,3815426,3.815426,2048,512,5000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok5M/seed1/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.793,0.7928,402.7612,605,3815426,3.815426,2048,512,5000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok5M/seed1/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.65,0.456,788.5086,1066,3815426,3.815426,2048,512,5000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok5M/seed1/results_token_fair.csv
