tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m,_source
BPE,mini,0,2048,512,5000000,0.8430750332685024,106.31292865185792,111,0.20627027908430753,1.628159999847412,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed0/results.csv
BPE,small,0,2048,512,5000000,0.8098065308629337,106.31292865185792,111,0.20627027908430753,5.982207775115967,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed0/results.csv
WordPiece,mini,0,2048,512,5000000,0.8510594738458389,106.44098679496366,112,0.1836841200630814,1.5820800065994263,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed0/results.csv
WordPiece,small,0,2048,512,5000000,0.7606715119254785,106.44098679496366,112,0.1836841200630814,6.1675519943237305,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed0/results.csv
Unigram,mini,0,2048,512,5000000,0.8394922714709796,232.96079434947282,245,0.28791169467047967,5.408768177032471,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed0/results.csv
Unigram,small,0,2048,512,5000000,0.7690654109939605,232.96079434947282,245,0.28791169467047967,15.034367561340332,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed0/results.csv
Bytes,mini,0,2048,512,5000000,0.8263895997543249,336.47783805916674,347,0.28698293943442005,9.276415824890137,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed0/results.csv
Bytes,small,0,2048,512,5000000,0.8090899785034292,336.47783805916674,347,0.28698293943442005,23.516159057617188,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed0/results.csv
CIT,mini,0,2048,512,5000000,0.8493192752584706,60.534548060190396,69,0.13812096784252623,1.369088053703308,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed0/results.csv
CIT,small,0,2048,512,5000000,0.8087828846350701,60.534548060190396,69,0.13812096784252623,4.765696048736572,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed0/results.csv
BPE,mini,1,2048,512,5000000,0.8510594738458389,106.31579486129594,112,0.15733263058292604,1.4223359823226929,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed1/results.csv
BPE,small,1,2048,512,5000000,0.7606715119254785,106.31579486129594,112,0.15733263058292604,3.905535936355591,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed1/results.csv
WordPiece,mini,1,2048,512,5000000,0.8464530658204524,106.44334118128775,112,0.15314692499796778,1.411072015762329,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed1/results.csv
WordPiece,small,1,2048,512,5000000,0.8301770907974204,106.44334118128775,112,0.15314692499796778,3.920896053314209,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed1/results.csv
Unigram,mini,1,2048,512,5000000,0.8382638959975433,232.94277817586243,245,0.37531976693975894,3.6925439834594727,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed1/results.csv
Unigram,small,1,2048,512,5000000,0.769781963353465,232.94277817586243,245,0.37531976693975894,8.905792236328125,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed1/results.csv
Bytes,mini,1,2048,512,5000000,0.8169720544579793,336.54314668850446,347,0.3438088589556967,4.695040225982666,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed1/results.csv
Bytes,small,1,2048,512,5000000,0.7711127034496877,336.54314668850446,347,0.3438088589556967,12.250783920288086,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed1/results.csv
CIT,mini,1,2048,512,5000000,0.8511618384686253,60.646125499027534,70,0.1157004109093304,1.1403520107269287,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed1/results.csv
CIT,small,1,2048,512,5000000,0.7882075954550107,60.646125499027534,70,0.1157004109093304,2.4978559017181396,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed1/results.csv
BPE,mini,2,2048,512,5000000,0.8461459719520934,106.3424096632204,112,0.19350281766307778,1.393664002418518,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed2/results.csv
BPE,small,2,2048,512,5000000,0.8332480294810114,106.3424096632204,112,0.19350281766307778,3.661792039871216,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed2/results.csv
WordPiece,mini,2,2048,512,5000000,0.8459412427065206,106.46954652472105,112,0.1699063150016511,1.3945599794387817,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed2/results.csv
WordPiece,small,2,2048,512,5000000,0.8277203398505476,106.46954652472105,112,0.1699063150016511,3.6425600051879883,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed2/results.csv
Unigram,mini,2,2048,512,5000000,0.8141058450199611,233.05824547036545,246,0.3742836929276492,3.0494720935821533,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed2/results.csv
Unigram,small,2,2048,512,5000000,0.8010031733033064,233.05824547036545,246,0.3742836929276492,7.783423900604248,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed2/results.csv
Bytes,mini,2,2048,512,5000000,0.8251612242808886,336.62196744804993,348,0.43101210746785396,4.616864204406738,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed2/results.csv
Bytes,small,2,2048,512,5000000,0.7754120176067151,336.62196744804993,348,0.43101210746785396,11.877375602722168,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed2/results.csv
CIT,mini,2,2048,512,5000000,0.8490121813901116,60.641621455624936,70,0.11892164190313476,1.2113920450210571,3815426,3.815426,results/paper/e3_budget_sweep/tok5M/seed2/results.csv
CIT,small,2,2048,512,5000000,0.8205548162555021,60.641621455624936,70,0.11892164190313476,2.515968084335327,11631362,11.631362,results/paper/e3_budget_sweep/tok5M/seed2/results.csv
